lrate,l2_reg,batchsize,n_epochs,loss
0.930164161224264,0.28532970497840704,1545.0,356.0,0.1723
0.7108431420157189,0.9537069507021346,412.0,1108.0,0.11609999999999998
0.9243446114908166,0.7782427706375015,1429.0,1544.0,0.14949999999999997
0.5935577970696482,0.13867163296456553,288.0,1304.0,0.14249999999999996
0.12126400961096528,0.42119694346387293,262.0,598.0,0.16500000000000004
0.09188507505466825,0.6713319522263236,930.0,1990.0,0.14580000000000004
0.9021813523042214,0.3450415629075855,125.0,321.0,0.17210000000000003
0.9519647846726342,0.6957573928306896,165.0,693.0,0.13280000000000003
0.212397641352558,0.9688009721982083,792.0,168.0,0.12329999999999997
0.19487103343017675,0.4466775863226161,1773.0,1218.0,0.13229999999999997
0.2695773924343222,0.9811443372998926,1498.0,1667.0,0.12680000000000002
0.6504849000306514,0.5476539500574555,1962.0,157.0,0.1604
0.3431090181797535,0.06658399405428916,1971.0,203.0,0.14570000000000005
0.9674256996499674,0.8055330482833839,420.0,866.0,0.1632
0.09062050971567603,0.9067581440577376,255.0,1642.0,0.11019999999999996
0.00802719453108991,0.05248093521607189,1326.0,1408.0,0.13
0.31486499513910715,0.11163942006170957,976.0,90.0,0.14800000000000002
0.07471081922953637,0.48546038223063104,371.0,1583.0,0.11140000000000005
0.21457771611941223,0.8894185033596719,1548.0,882.0,0.13119999999999998
0.04877451731689508,0.8938900754986533,1735.0,634.0,0.12839999999999996
0.42470001229689097,0.5732561751784524,625.0,1962.0,0.13549999999999995
0.46863292586630306,0.2860676580694045,591.0,1787.0,0.13749999999999996
0.018878824697760664,0.6521290615254287,48.0,1818.0,0.18869999999999998
0.14345744790203102,0.1996685965266773,1167.0,1523.0,0.1542
0.3882109323524276,0.4854524008440274,649.0,1814.0,0.1412
0.5518535698897244,0.579633217752916,445.0,1574.0,0.16790000000000005
0.7821249928753458,0.3735471366786072,856.0,1330.0,0.13019999999999998
0.06285141852749611,0.7472950475138282,1093.0,1169.0,0.13470000000000004
0.27604184557909467,0.24545208896514206,40.0,1993.0,0.1481
0.15872029670894774,0.3424235333490684,272.0,1011.0,0.15669999999999995
0.493883112299804,0.8503536112339214,527.0,1674.0,0.13419999999999999
0.8103015660844468,0.622866611618375,768.0,1482.0,0.1805
0.017641955259820263,0.5181828581650219,334.0,1075.0,0.1533
0.38155548167233094,0.7432991628731487,178.0,1676.0,0.13639999999999997
0.10200122455802754,0.4023652328027991,698.0,1384.0,0.1421
0.2634292492149295,0.2840511027138716,502.0,1897.0,0.13119999999999998
