lrate,l2_reg,batchsize,n_epochs,loss
0.38563812577801326,0.7943971153614521,1301.0,1794.0,0.16579999999999995
0.5695591814561582,0.07942494358423768,1933.0,1551.0,0.16810000000000003
0.9226266026959468,0.8986124354750274,636.0,881.0,0.12880000000000003
0.6158792770925122,0.13821539679305206,1209.0,450.0,0.18179999999999996
0.6804529013984658,0.28839463926433995,1196.0,1300.0,0.16759999999999997
0.8357130031325171,0.3908039552414482,1890.0,966.0,0.2006
0.36349791641719764,0.2846700172538916,968.0,383.0,0.17169999999999996
0.3109428932442252,0.6129064584949446,989.0,542.0,0.1341
0.44768405526394983,0.9103998691910412,2000.0,1334.0,0.14490000000000003
0.2741567120505326,0.00923232477504865,1518.0,1088.0,0.16269999999999996
0.9754131613273747,0.8673549840857447,1461.0,1240.0,0.12980000000000003
0.029316265911008665,0.38525280237932114,1405.0,1141.0,0.15380000000000005
0.42384699041936336,0.996246178313219,94.0,811.0,0.11729999999999996
0.1384128003089613,0.08875380177269943,1453.0,365.0,0.1503
0.09122232475669834,0.695395595537776,427.0,1402.0,0.12480000000000002
0.4516059317893688,0.055567434652717296,1219.0,924.0,0.1451
0.11175498719831145,0.2077516685889207,643.0,969.0,0.13890000000000002
0.7043046595002008,0.8962984562465747,1819.0,1569.0,0.19889999999999997
0.8725858181187743,0.9688974875669858,960.0,423.0,0.13490000000000002
0.9247801221110908,0.6945702681680169,1331.0,1450.0,0.1642
0.9061812165865194,0.021409693964094534,107.0,1845.0,0.21989999999999998
0.10198392572887904,0.9434941954278578,375.0,919.0,0.10709999999999997
0.9442308434357972,0.9912269089833714,232.0,596.0,0.10729999999999995
0.8716594173695025,0.6381980019401782,1672.0,661.0,0.12939999999999996
0.5143998283933143,0.7157128519343078,1653.0,405.0,0.14449999999999996
0.20350083995950996,0.9632876556915326,1208.0,588.0,0.14100000000000001
0.9354942131166878,0.45834115536530184,1041.0,19.0,0.14629999999999999
0.7719368071743481,0.9271168916288629,950.0,1422.0,0.19220000000000004
0.7308892410056813,0.5715824585256194,87.0,1936.0,0.1794
0.7192989287907565,0.14615385204281028,239.0,884.0,0.16400000000000003
0.9147863530934979,0.6829143768750712,459.0,579.0,0.14590000000000003
0.5780843932371327,0.4286934188382926,753.0,1783.0,0.13249999999999995
0.041601354672040736,0.6692200977147932,1579.0,342.0,0.15880000000000005
0.5986638718224451,0.9958606909099182,1611.0,1988.0,0.10360000000000003
0.3703573235657671,0.2593153817676668,957.0,253.0,0.14049999999999996
0.4483156156202799,0.7996559270771868,1594.0,1031.0,0.12939999999999996
0.2966600516038367,0.5433477720854537,1446.0,524.0,0.1493
0.8452702634057057,0.7425600289467027,1096.0,1970.0,0.14229999999999998
0.1426014266730793,0.16002664285815493,843.0,1284.0,0.13190000000000002
0.6990750843981405,0.07408921074536468,144.0,1833.0,0.19289999999999996
0.04252374729150643,0.20353445258627434,1070.0,652.0,0.13749999999999996
0.04195410707985192,0.9395710949108034,479.0,394.0,0.1341
0.07135063864507529,0.6369054537129962,1591.0,1626.0,0.12570000000000003
0.24718497083008595,0.5883704911240731,935.0,1735.0,0.12980000000000003
0.47722113932505106,0.7636023905589218,1851.0,1516.0,0.14959999999999996
0.47987427400763305,0.9521546190275254,1066.0,1328.0,0.11719999999999997
0.8750537337048447,0.13883854175938215,1180.0,1989.0,0.16080000000000005
0.5124388183460238,0.5468871335641249,638.0,721.0,0.1744
0.802744675372172,0.6255389445116798,164.0,795.0,0.22609999999999997
0.5035653212733424,0.8502886627050006,1654.0,1365.0,0.137
0.33626275973521613,0.7833741905532874,705.0,456.0,0.14980000000000004
0.7630978268404932,0.2320698754712781,58.0,1866.0,0.15700000000000003
0.3357579419063087,0.9745430241506908,1250.0,1492.0,0.11809999999999998
0.3092130887057869,0.6809350895330245,1427.0,1359.0,0.12539999999999996
0.22298566473564663,0.7323405306481522,1831.0,32.0,0.1371
0.5618779306288849,0.13411281638639427,278.0,519.0,0.1593
0.591009613484998,0.7627671875129368,387.0,1142.0,0.1493
0.7936222868326233,0.6733374432561675,1046.0,895.0,0.14490000000000003
0.6839377770428264,0.7955322791622524,62.0,65.0,0.16969999999999996
0.11073732325041696,0.15287691730898734,136.0,935.0,0.14990000000000003
0.3881442788900721,0.9098013089049338,1993.0,918.0,0.12150000000000005
0.4418473065156676,0.883964668466368,769.0,1384.0,0.12639999999999996
0.03544418260189297,0.7786937763170503,701.0,1919.0,0.11480000000000001
0.5005449736295663,0.5565712356923529,1478.0,1386.0,0.12460000000000004
0.8560048213580123,0.532762065349852,1928.0,1871.0,0.15700000000000003
0.008699868831164359,0.42287059142220784,1945.0,1716.0,0.13249999999999995
0.8614596937972591,0.5936716341208641,1934.0,576.0,0.20320000000000005
0.674667425669532,0.6674408846485544,309.0,1066.0,0.12029999999999996
0.49153424739093177,0.23351676842597024,253.0,687.0,0.1703
0.6893484342601274,0.6607082432281365,1282.0,1216.0,0.1884
0.9620617860863694,0.06407106951355279,253.0,579.0,0.16180000000000005
0.48332794668325163,0.16403465843261034,1166.0,1145.0,0.17669999999999997
0.7383803809867427,0.2719315375911151,58.0,1921.0,0.16510000000000002
0.24931940024927046,0.6598654440491322,396.0,76.0,0.13449999999999995
0.5047661469216616,0.30382874656879144,518.0,600.0,0.15900000000000003
0.33254131850160173,0.16637827096827718,775.0,1489.0,0.17769999999999997
0.9104270583996694,0.2787159479525768,90.0,1419.0,0.1765
0.8029393514333701,0.682205179498633,1173.0,1985.0,0.15380000000000005
0.43551273745497143,0.1560190476366664,545.0,462.0,0.16859999999999997
0.4827937239953112,0.39755327367415194,1365.0,1350.0,0.15290000000000004
0.03655280110319681,0.6205275443770535,1413.0,1031.0,0.11270000000000002
0.9112849887487332,0.9527983253820773,1144.0,1153.0,0.11650000000000005
0.16093799100932593,0.5941205907302127,1197.0,961.0,0.13739999999999997
0.7323297332264739,0.6502959083233074,994.0,507.0,0.15100000000000002
0.1067839485143447,0.9587466516439457,862.0,229.0,0.1362
0.9251645066396564,0.24191615507358477,1108.0,1023.0,0.1492
0.5399493100287306,0.07563021463767083,1350.0,1872.0,0.16390000000000005
0.29895709947244786,0.6253009768152241,1362.0,1478.0,0.12629999999999997
0.7061484208945348,0.48551271318209754,89.0,770.0,0.1593
0.4245196755047741,0.5494392568489775,1596.0,1987.0,0.15859999999999996
0.8897333056666765,0.6222745456970967,436.0,1153.0,0.1704
0.0064866140634070035,0.5367021578700796,287.0,1984.0,0.11470000000000002
0.5708470018912571,0.9659033601108727,1079.0,872.0,0.11629999999999996
0.26204675305087155,0.8377531612177085,1148.0,562.0,0.13849999999999996
0.3590211281318819,0.0979479638746944,466.0,1742.0,0.14300000000000002
0.29786576354287886,0.9158612040947961,1483.0,1240.0,0.13859999999999995
0.786105766943017,0.8351805589270298,1588.0,1326.0,0.13339999999999996
0.8417461684482169,0.4966380089061839,1035.0,1534.0,0.13649999999999995
0.39596990478925087,0.7151612144799213,1754.0,1511.0,0.12870000000000004
0.958200392666087,0.7403072196918101,1792.0,1909.0,0.12370000000000003
