n_epochs,loss,l2_reg,lrate
1252,0.1503,0.375,0.37500625000000004
254,0.121,0.875,0.87500125
753,0.15410000000000001,0.125,0.62500375
1751,0.12190000000000001,0.625,0.12500875
628,0.11870000000000003,0.3125,0.18750812500000003
1626,0.12129999999999996,0.8125,0.687503125
1127,0.13229999999999997,0.0625,0.937500625
129,0.15610000000000002,0.5625,0.437505625
1876,0.1451,0.1875,0.312506875
878,0.14970000000000006,0.6875,0.812501875
379,0.15649999999999997,0.4375,0.562504375
1377,0.13329999999999997,0.9375,0.062509375
1689,0.1896,0.46875,0.0937590625
691,0.13970000000000005,0.96875,0.5937540625
192,0.16820000000000002,0.21875,0.8437515624999999
1190,0.12849999999999995,0.71875,0.34375656250000003
940,0.1866,0.09375,0.4687553125
1938,0.12970000000000004,0.59375,0.9687503125
1439,0.13090000000000002,0.34375,0.7187528125
441,0.11570000000000003,0.84375,0.2187578125
1065,0.138,0.15625,0.1562584375
5,0.1452,0.0,1e-05
5,0.14590000000000003,1.0,1.0
2000,0.10599999999999998,1.0,1e-05
2000,0.16069999999999995,0.0,1.0
5,0.13849999999999996,1.0,1e-05
2000,0.11809999999999998,1.0,1.0
2000,0.1149,0.0,1e-05
5,0.13890000000000002,1.0,0.48569970211601055
2000,0.11819999999999997,0.603851818654766,1e-05
5,0.12770000000000004,0.487920024875639,1e-05
540,0.10440000000000005,1.0,1e-05
843,0.10499999999999998,1.0,1e-05
2000,0.11419999999999997,1.0,0.3933329051256342
2000,0.12150000000000005,1.0,0.5483989439420802
2000,0.10599999999999998,1.0,1e-05
2000,0.14670000000000005,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
903,0.11129999999999995,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.11680000000000001,1.0,0.4297712658436351
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
1151,0.12150000000000005,1.0,1e-05
658,0.11770000000000003,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.11719999999999997,0.8354802627756541,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.124,1.0,0.3123644120751157
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.11660000000000004,0.7744960811790325,1e-05
2000,0.1099,1.0,0.41750028816385404
2000,0.11609999999999998,1.0,0.41506090745973395
2000,0.10599999999999998,1.0,1e-05
1318,0.11350000000000005,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
1347,0.11599999999999999,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
1207,0.134,1.0,1.0
2000,0.10599999999999998,1.0,1e-05
2000,0.1149,0.0,1e-05
1292,0.11919999999999997,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
1706,0.11519999999999997,1.0,1e-05
2000,0.122,1.0,0.3905435912902301
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.119,1.0,0.6893008719096029
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
1265,0.09970000000000001,1.0,1e-05
681,0.10829999999999995,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.11329999999999996,1.0,0.25581450929602273
2000,0.10599999999999998,1.0,1e-05
2000,0.12329999999999997,1.0,0.3607423024635511
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
1298,0.14190000000000003,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
2000,0.10599999999999998,1.0,1e-05
5,0.13849999999999996,1.0,1e-05
