lrate,l2_reg,n_epochs,loss
0.780220152380296,0.676562180765895,441.0,0.14839999999999998
0.8745280076465545,0.983977632058163,1173.0,0.12519999999999998
0.29794902509083365,0.17361523968015424,1977.0,0.16069999999999995
0.512317365953674,0.3443555618790498,883.0,0.1392
0.9074424576662636,0.015203689232101691,1325.0,0.18920000000000003
0.5438711194603209,0.24483592856503167,347.0,0.18610000000000004
0.5432889293808104,0.9443191958977589,1233.0,0.11250000000000004
0.2187654817753989,0.28039482984932573,1798.0,0.11219999999999997
0.4420726247576844,0.6253703486715644,1204.0,0.1391
0.7263042498661446,0.2379103378691031,259.0,0.1985
0.7254626800571622,0.8320467855984893,440.0,0.14329999999999998
0.5059667972489127,0.17853690914036302,1037.0,0.12280000000000002
0.14063960418337096,0.012560955252162276,427.0,0.13480000000000003
0.23742263991300705,0.12876577006907197,411.0,0.22740000000000005
0.8006865947352703,0.6197149430573939,255.0,0.132
0.05666721269516317,0.7526790729581957,1171.0,0.16310000000000002
0.867830038849096,0.12359153382389543,1840.0,0.19840000000000002
0.49540666852747184,0.6651074924765573,1544.0,0.1392
0.5197367254928563,0.49737300634811765,1011.0,0.16900000000000004
0.3763198418602368,0.791085448744766,1811.0,0.13680000000000003
0.6130177782627172,0.3995506484640473,701.0,0.18799999999999994
0.006223917996094425,0.9314899176169118,1596.0,0.11209999999999998
0.03004359574508978,0.49488019701441277,1577.0,0.14629999999999999
0.12581509130339547,0.401596435192459,1526.0,0.14439999999999997
0.2156991587649667,0.8807059687392287,1730.0,0.1381
0.34402599819051954,0.33469205345916625,1954.0,0.16159999999999997
0.005629597460561242,0.4422456345827949,1411.0,0.1049
0.0022525771362228225,0.5587337768998835,1393.0,0.1392
0.09887971463055613,0.726838816146183,58.0,0.13219999999999998
0.16386504670366364,0.42930179418126985,704.0,0.17510000000000003
0.006843778944690539,0.5529975121072598,1676.0,0.11839999999999995
0.07546099380648918,0.9635201713167626,826.0,0.14880000000000004
0.2967647639918982,0.8860369829346837,1418.0,0.12060000000000004
0.6246415106608045,0.5542469815009512,1915.0,0.16710000000000003
0.4105308865776335,0.346453796181831,1620.0,0.17490000000000006
