n_epochs,loss,l2_reg,lrate
1751,0.15890000000000004,0.625,0.12500875
628,0.13870000000000005,0.3125,0.18750812500000003
1626,0.10840000000000005,0.8125,0.687503125
1127,0.18400000000000005,0.0625,0.937500625
129,0.16559999999999997,0.5625,0.437505625
1876,0.15749999999999997,0.1875,0.312506875
878,0.14949999999999997,0.6875,0.812501875
379,0.13880000000000003,0.4375,0.562504375
1377,0.12270000000000003,0.9375,0.062509375
1689,0.11429999999999996,0.46875,0.0937590625
691,0.1291,0.96875,0.5937540625
192,0.14090000000000003,0.21875,0.8437515624999999
1190,0.1441,0.71875,0.34375656250000003
940,0.15880000000000005,0.09375,0.4687553125
1938,0.21189999999999998,0.59375,0.9687503125
1439,0.14759999999999995,0.34375,0.7187528125
441,0.13690000000000002,0.84375,0.2187578125
1065,0.12780000000000002,0.15625,0.1562584375
67,0.20950000000000002,0.65625,0.6562534375
566,0.15849999999999997,0.40625,0.9062509375
1564,0.11939999999999995,0.90625,0.40625593750000005
5,0.1139,0.0,1e-05
5,0.10950000000000004,1.0,1e-05
2000,0.11970000000000003,0.0,0.02181846073295802
2000,0.20430000000000004,0.0,1.0
2000,0.11270000000000002,1.0,1e-05
2000,0.11919999999999997,1.0,1.0
5,0.11160000000000003,0.4973701228779167,1e-05
610,0.11939999999999995,0.0,1e-05
2000,0.19010000000000005,0.0,0.6616843992182911
322,0.11819999999999997,1.0,0.004818573714329931
907,0.13239999999999996,1.0,1e-05
5,0.11480000000000001,6.938893903907228e-18,1e-05
2000,0.12339999999999995,0.0,1e-05
5,0.11729999999999996,0.5140454774954786,1e-05
5,0.11380000000000001,0.5320557221656812,1e-05
5,0.10980000000000001,0.591911603849021,1e-05
649,0.11660000000000004,1.0,1e-05
2000,0.11919999999999997,1.0,1.0
2000,0.12339999999999995,0.0,1e-05
2000,0.11270000000000002,1.0,1e-05
2000,0.11919999999999997,1.0,1.0
2000,0.11919999999999997,1.0,1.0
5,0.11170000000000002,0.2719789060392157,1e-05
817,0.11719999999999997,1.0,1e-05
855,0.17279999999999995,1.0,1e-05
5,0.1139,0.0,1e-05
5,0.11480000000000001,0.55370992022587,1e-05
5,0.10950000000000004,1.0,1e-05
5,0.12319999999999998,0.5508882360707483,1e-05
5,0.10950000000000004,1.0,1e-05
2000,0.11270000000000002,1.0,1e-05
5,0.1139,0.0,1e-05
1245,0.13829999999999998,1.0,1e-05
2000,0.10799999999999998,1.0,0.5648341772335554
5,0.10950000000000004,1.0,1e-05
5,0.10950000000000004,1.0,1e-05
287,0.15139999999999998,0.0,1e-05
5,0.10950000000000004,1.0,1e-05
5,0.11580000000000001,0.2772307497029394,1e-05
5,0.10950000000000004,1.0,1e-05
5,0.10950000000000004,1.0,1e-05
2000,0.11270000000000002,1.0,1e-05
5,0.10950000000000004,1.0,1e-05
5,0.10950000000000004,1.0,1e-05
5,0.10950000000000004,1.0,1e-05
5,0.10950000000000004,1.0,1e-05
5,0.11339999999999995,1.0,1.0
5,0.10950000000000004,1.0,1e-05
5,0.10950000000000004,1.0,1e-05
5,0.11339999999999995,1.0,1.0
5,0.11339999999999995,1.0,1.0
905,0.13660000000000005,1.0,1.0
5,0.10719999999999996,1.0,0.4416005402066001
5,0.11019999999999996,1.0,0.27811262555032595
5,0.11339999999999995,1.0,1.0
5,0.10629999999999995,1.0,1.0000000000111021e-05
5,0.10650000000000004,1.0,0.17351815960361228
5,0.11339999999999995,1.0,1.0
2000,0.11270000000000002,1.0,1e-05
5,0.10950000000000004,1.0,1e-05
2000,0.11270000000000002,1.0,1e-05
5,0.11339999999999995,1.0,1.0
5,0.10950000000000004,1.0,1e-05
5,0.10950000000000004,1.0,1e-05
5,0.10950000000000004,1.0,1e-05
5,0.10670000000000002,1.0,0.375473406853588
5,0.10719999999999996,1.0,0.41650109959056925
5,0.11299999999999999,1.0,0.10927507302285133
5,0.11339999999999995,1.0,1.0
5,0.11009999999999998,1.0,0.26147648927491907
5,0.10719999999999996,1.0,0.4653602147668557
2000,0.12719999999999998,1.0,0.4708673627461432
5,0.13049999999999995,0.23324860054257168,1e-05
5,0.10850000000000004,1.0,0.30359617859398724
5,0.11339999999999995,1.0,1.0
5,0.11009999999999998,1.0,0.26662692850106
5,0.10950000000000004,1.0,1e-05
897,0.11299999999999999,1.0,1.0
1014,0.119,1.0,1.0
