n_epochs,loss,l2_reg,lrate
5,0.12119999999999997,0.0,1e-05
1002,0.15190000000000003,0.5,0.500005
1501,0.1522,0.25,0.7500025
503,0.13180000000000003,0.75,0.2500075
1252,0.1259,0.375,0.37500625000000004
254,0.14180000000000004,0.875,0.87500125
753,0.22870000000000001,0.125,0.62500375
1751,0.121,0.625,0.12500875
628,0.15059999999999996,0.3125,0.18750812500000003
1626,0.1462,0.8125,0.687503125
1127,0.13460000000000005,0.0625,0.937500625
129,0.12660000000000005,0.5625,0.437505625
1876,0.14329999999999998,0.1875,0.312506875
878,0.1513,0.6875,0.812501875
379,0.1845,0.4375,0.562504375
1377,0.10999999999999999,0.9375,0.062509375
1689,0.11750000000000005,0.46875,0.0937590625
691,0.1281,0.96875,0.5937540625
192,0.1553,0.21875,0.8437515624999999
1190,0.12190000000000001,0.71875,0.34375656250000003
940,0.13759999999999994,0.09375,0.4687553125
1938,0.14749999999999996,0.59375,0.9687503125
1439,0.12670000000000003,0.34375,0.7187528125
441,0.14570000000000005,0.84375,0.2187578125
1065,0.13229999999999997,0.15625,0.1562584375
67,0.13470000000000004,0.65625,0.6562534375
5,0.11750000000000005,1.0,1e-05
2000,0.1714,1.0,1e-05
5,0.1815,0.0,1.0
2000,0.18489999999999995,0.0,1e-05
2000,0.1846,1.0,1.0
5,0.12960000000000005,0.5133468098843956,1e-05
5,0.15539999999999998,1.0,0.009674165442516215
5,0.14239999999999997,1.0,1.0
5,0.13859999999999995,0.0,1e-05
5,0.1432,1.0,0.3376777330438423
2000,0.23450000000000004,0.0,1.0
5,0.10819999999999996,0.5166515773841209,1e-05
942,0.12350000000000005,1.0,1e-05
5,0.13980000000000004,0.5355658326280581,1e-05
1440,0.12260000000000004,1.0,1e-05
2000,0.14249999999999996,1.0,0.45539529155595326
2000,0.1905,0.5378360043778201,1e-05
1247,0.11699999999999999,0.6192682146773273,1e-05
2000,0.15890000000000004,0.5495728027549738,1e-05
2000,0.15449999999999997,1.0,0.23354257693466032
1067,0.12139999999999995,1.0,1e-05
926,0.13759999999999994,0.64975845689166,1e-05
799,0.10460000000000003,1.0,1e-05
1129,0.10119999999999996,1.0,0.11792127738437191
1369,0.11409999999999998,1.0,0.30030603811862955
1400,0.11060000000000003,0.0,1e-05
5,0.12009999999999998,0.7406478057370479,1e-05
818,0.11419999999999997,0.6566251835631314,1e-05
485,0.12890000000000001,1.0,1e-05
1364,0.15749999999999997,1.0,0.3382335424740201
5,0.11909999999999998,0.5756146681269333,1e-05
1206,0.12929999999999997,0.6222612874123775,1e-05
5,0.11580000000000001,0.7541678310635086,0.14928977541570074
1317,0.1341,0.5556930888892617,1e-05
1372,0.11209999999999998,1.0,0.3299575290585075
5,0.1261,0.5868726373815418,1e-05
1233,0.12649999999999995,0.6243240818717362,1e-05
1174,0.129,1.0,1.0
5,0.1371,1.0,0.4777350771995174
967,0.13270000000000004,1.0,1e-05
1150,0.11150000000000004,1.0,1e-05
1025,0.124,1.0,0.21122572759263666
1247,0.122,1.0,1e-05
754,0.12360000000000004,1.0,0.08104956117964152
1402,0.15049999999999997,0.5978763832471435,1e-05
705,0.1018,1.0,1e-05
1187,0.11160000000000003,1.0,1e-05
1138,0.12560000000000004,1.0,0.3266057373450364
815,0.1291,0.6172469937036676,1e-05
607,0.11770000000000003,1.0,1e-05
1315,0.12839999999999996,0.513241965213628,1e-05
1125,0.12529999999999997,1.0,1e-05
1404,0.12419999999999998,0.0,1e-05
5,0.12219999999999998,0.2259487434203678,1e-05
1286,0.11460000000000004,0.0,1e-05
1130,0.14380000000000004,1.0,1e-05
1021,0.11409999999999998,0.0,1e-05
252,0.11070000000000002,1.0,1e-05
635,0.1251,1.0,1e-05
635,0.15200000000000002,0.0,1e-05
1325,0.10599999999999998,0.0,1e-05
321,0.12170000000000003,1.0,1e-05
901,0.12050000000000005,1.0,1.0
5,0.11750000000000005,1.0,1e-05
329,0.11929999999999996,1.0,1e-05
5,0.11750000000000005,1.0,1e-05
760,0.10829999999999995,1.0,1e-05
1198,0.11919999999999997,1.0,1.0
599,0.11909999999999998,1.0,1e-05
781,0.12360000000000004,0.0,1e-05
393,0.1422,1.0,1e-05
739,0.12170000000000003,1.0,1e-05
641,0.10760000000000003,0.0,1e-05
1584,0.10980000000000001,1.0,1e-05
