n_epochs,loss,l2_reg,lrate
1501,0.17200000000000004,0.25,0.7500025
503,0.11350000000000005,0.75,0.2500075
1252,0.17269999999999996,0.375,0.37500625000000004
254,0.12170000000000003,0.875,0.87500125
753,0.15439999999999998,0.125,0.62500375
1751,0.13449999999999995,0.625,0.12500875
628,0.15249999999999997,0.3125,0.18750812500000003
1626,0.15149999999999997,0.8125,0.687503125
1127,0.17859999999999998,0.0625,0.937500625
129,0.1452,0.5625,0.437505625
1876,0.18200000000000005,0.1875,0.312506875
878,0.13490000000000002,0.6875,0.812501875
379,0.1604,0.4375,0.562504375
1377,0.12470000000000003,0.9375,0.062509375
1689,0.11060000000000003,0.46875,0.0937590625
691,0.1331,0.96875,0.5937540625
192,0.1624,0.21875,0.8437515624999999
1190,0.13980000000000004,0.71875,0.34375656250000003
940,0.1261,0.09375,0.4687553125
1938,0.1472,0.59375,0.9687503125
1439,0.13780000000000003,0.34375,0.7187528125
441,0.14939999999999998,0.84375,0.2187578125
1065,0.13980000000000004,0.15625,0.1562584375
67,0.14680000000000004,0.65625,0.6562534375
5,0.1422,0.0,1e-05
5,0.11870000000000003,1.0,1e-05
2000,0.11839999999999995,1.0,1.0000000000055512e-05
2000,0.11670000000000003,1.0,1.0
5,0.13019999999999998,1.0,1.0
2000,0.15390000000000004,0.0,0.0066264003093994585
2000,0.16649999999999998,0.0,1.0
5,0.12960000000000005,1.0,0.41869119112281605
2000,0.11719999999999997,1.0,1e-05
857,0.1291,1.0,1e-05
2000,0.13770000000000004,1.0,0.4711441772719773
5,0.12960000000000005,1.0,0.3169016279605712
224,0.1068,1.0,1e-05
5,0.11519999999999997,0.5836397299766778,1e-05
5,0.1199,0.6039000934076102,1e-05
748,0.17069999999999996,1.0,1e-05
2000,0.13390000000000002,0.0,1e-05
2000,0.11719999999999997,1.0,1e-05
2000,0.11719999999999997,1.0,1e-05
1070,0.15400000000000003,1.0,1e-05
2000,0.11719999999999997,1.0,1e-05
2000,0.11719999999999997,1.0,1e-05
2000,0.11719999999999997,1.0,1e-05
5,0.13019999999999998,1.0,1.0
2000,0.11719999999999997,1.0,1e-05
2000,0.11719999999999997,1.0,1e-05
2000,0.11719999999999997,1.0,1e-05
2000,0.11719999999999997,1.0,1e-05
2000,0.11670000000000003,1.0,1.0
1088,0.17290000000000005,1.0,1.0
1080,0.11680000000000001,1.0,1.0
5,0.13019999999999998,1.0,1.0
2000,0.11670000000000003,1.0,1.0
1155,0.10770000000000002,1.0,1.0
2000,0.11670000000000003,1.0,1.0
2000,0.11670000000000003,1.0,1.0
2000,0.1724,1.0,0.54997411874013
5,0.10799999999999998,0.559991263360637,1e-05
5,0.11870000000000003,1.0,1e-05
5,0.12419999999999998,0.5981342008649195,1e-05
5,0.1422,0.0,1e-05
2000,0.13019999999999998,1.0,0.20435812003534734
5,0.18169999999999997,0.0,1.0
2000,0.13329999999999997,0.6167222647325804,1e-05
5,0.11980000000000002,0.6864341309916953,1e-05
5,0.11950000000000005,0.6066859354195223,1e-05
2000,0.11670000000000003,1.0,1.0
5,0.11870000000000003,1.0,1e-05
5,0.13929999999999998,1.0,1e-05
2000,0.11719999999999997,1.0,1e-05
5,0.13929999999999998,1.0,1e-05
2000,0.11019999999999996,1.0,0.48134130300007905
2000,0.12970000000000004,1.0,1.0
2000,0.124,1.0,1e-05
2000,0.11670000000000003,1.0,1.0
2000,0.11670000000000003,1.0,1.0
2000,0.11670000000000003,1.0,1.0
2000,0.11929999999999996,0.7316265864892741,1e-05
2000,0.11670000000000003,1.0,1.0
5,0.13019999999999998,1.0,1.0
2000,0.13539999999999996,1.0,0.5398466723831906
2000,0.11719999999999997,1.0,1e-05
2000,0.13680000000000003,0.6266630603347052,1e-05
2000,0.131,1.0,0.5802857181984679
5,0.13019999999999998,1.0,1.0
5,0.1291,1.0,0.6570637086133361
5,0.13029999999999997,0.5053883953619333,1e-05
5,0.1422,1.0,0.24825327357162033
2000,0.13180000000000003,0.5652824677148157,1e-05
2000,0.10729999999999995,0.5990170573531893,1e-05
1617,0.11119999999999997,1.0,1e-05
2000,0.1068,0.5896812600240399,1e-05
5,0.11350000000000005,0.7201219355428944,1e-05
2000,0.13549999999999995,1.0,0.849993429711941
1089,0.11240000000000006,1.0,1.0
2000,0.11670000000000003,1.0,1.0
