n_epochs,loss,l2_reg,lrate
714,0.17210985223905173,0.57421875,0.14453980468750002
1837,0.15766232680181233,0.38671875,0.20703917968750002
839,0.1465891661913424,0.88671875,0.7070341796875
5,0.12066238879335857,0.0,1.0
2000,0.10477687432129383,0.0,1.0
2000,0.11391243575444594,1.0,1.0
1300,0.1237643774466254,0.0,1.0
1735,0.12766100312798265,0.4608461967146649,0.9846254972218722
5,0.12515817953156128,1.0,1.0
5,0.12714673975016455,0.0,1e-05
2000,0.10751496073706626,0.04505776839295008,1.0
2000,0.18633061891012018,1.0,1e-05
2000,0.11971829083213056,0.0,0.6593863233454229
5,0.12081732972729078,0.0,1.0
2000,0.10496369331734205,0.0,1.0
5,0.1261511762509724,0.0,0.561790603275641
2000,0.10484666493790958,0.0,1.0
2000,0.1049010506354912,0.0,1.0
2000,0.10482754622091975,0.0,1.0
2000,0.10489376889303277,0.0,1.0
2000,0.1049457377798278,0.0,1.0
2000,0.12939794853043754,0.19092500311614277,0.9029468529184145
1082,0.12521114500238997,0.0,0.9622344959507119
232,0.12377569057029796,0.489423495954231,1.0
2000,0.11919566995992213,0.0,0.4237556850698068
5,0.18915302042230334,1.0,1e-05
2000,0.11844157183957635,0.0,1e-05
2000,0.10483134764034183,0.0,1.0
2000,0.10482488602226975,0.0,1.0
2000,0.10485502472278228,0.0,1.0
2000,0.11380141681925966,1.0,1.0
2000,0.11732006986474856,0.7164727642038105,1.0
2000,0.10475733926677555,0.0,1.0
2000,0.10489249038275196,0.0,1.0
2000,0.10490400266959059,0.0,1.0
2000,0.10475201262877346,0.0,1.0
2000,0.10477116115461915,0.0,1.0
1310,0.12651845040779855,1.0,1.0
1520,0.1222906709990686,0.0,1.0
2000,0.10479220947682708,0.0,1.0
2000,0.10481456709853076,0.0,1.0
2000,0.10496851555827333,0.0,1.0
2000,0.1165314100408906,0.28789980583089725,1.0
2000,0.10484395180952093,0.0,1.0
2000,0.10489565271335245,0.0,1.0
2000,0.1048280935684778,0.0,1.0
2000,0.10479852191207109,0.0,1.0
2000,0.10491884274660973,0.0,1.0
2000,0.10482057660443941,0.0,1.0
2000,0.10482057660443941,0.0,1.0
2000,0.10482057660443941,0.0,1.0
2000,0.10483047513857024,0.0,1.0
2000,0.10485873795911999,0.0,1.0
5,0.12065562149038106,0.0,1.0
2000,0.11823592583024328,0.0,1e-05
2000,0.10482231740095653,0.0,1.0
999,0.12362431652763221,0.0,1e-05
2000,0.10476759276851147,0.0,1.0
2000,0.1047687537743441,0.0,1.0
2000,0.10482057660443941,0.0,1.0
2000,0.10484958475712831,0.0,1.0
2000,0.12035721498643999,0.0,0.7523869436257453
2000,0.10478822368895821,0.0,1.0
2000,0.12428373411172242,0.227790211246345,1.0
2000,0.10478606559503467,0.0,1.0
1187,0.12287801160676905,0.0,1.0
2000,0.10477222156550356,0.0,1.0
2000,0.10482057660443941,0.0,1.0
2000,0.10483047513857024,0.0,1.0
2000,0.10475651215818069,0.0,1.0
2000,0.10477094577772263,0.0,1.0
2000,0.12032804985240694,0.0,0.7054929020603863
2000,0.10476187516818086,0.0,1.0
2000,0.11419648347249019,1.0,1.0
2000,0.10482057660443941,0.0,1.0
5,0.12521780610641098,1.0,1.0
2000,0.10476990203822338,0.0,1.0
2000,0.10482057660443941,0.0,1.0
551,0.12014032090267412,0.0,1.0
385,0.12030179593914794,0.0,1.0
5,0.12462661326101714,0.658183431625768,1.0
5,0.1259265709294105,0.0,0.29943193689255004
2000,0.10476450730630402,0.0,1.0
2000,0.10489693549109282,0.0,1.0
2000,0.10480786623670653,0.0,1.0
2000,0.11681191630659116,0.3983653206888659,1.0
2000,0.10483955895533333,0.0,1.0
2000,0.1047626151338464,0.0,1.0
2000,0.10482057660443941,0.0,1.0
2000,0.10483165779371226,0.0,1.0
2000,0.10482057660443941,0.0,1.0
2000,0.10485012968156208,0.0,1.0
2000,0.10482057660443941,0.0,1.0
2000,0.10483165779371226,0.0,1.0
2000,0.10471521284831661,0.0,1.0
2000,0.10478822368895821,0.0,1.0
2000,0.10474475756980992,0.0,1.0
2000,0.11661084528012992,0.8308873748587283,1.0
2000,0.10493438418450263,0.0,1.0
2000,0.10474338085115459,0.0,1.0
