lrate,l2_reg,n_epochs,loss
0.5255351327359676,0.6396471252664924,1320,0.15735767433825176
0.47080209851264954,0.2257578819990158,402,0.158362634717702
0.9973819851875305,0.2515609562397003,1566,0.17385910179707714
0.005301084369421005,0.8518506288528442,659,0.12632554869962725
0.5,0.5,1002,0.15270881957917443
0.7818735837936401,0.9838961958885193,142,0.12612366090299573
0.21154560148715973,0.3811676502227783,1084,0.14063296161144664
0.6951567530632019,0.09462331980466843,888,0.16979509864662198
0.3124208152294159,0.5089964270591736,1833,0.14861976655438727
0.9117268323898315,0.5967286229133606,760,0.15910668972859326
0.09145984053611755,0.010613922029733658,1962,0.14584970391900726
0.5653682351112366,0.48087406158447266,6,0.16054613215557237
0.4324491322040558,0.8805883526802063,1220,0.1378446128125088
0.6553847789764404,0.7523843050003052,1702,0.14183602986250285
0.35071274638175964,0.3551168143749237,522,0.15471160380356885
0.8675898313522339,0.137785404920578,1449,0.16865488459933076
0.12532584369182587,0.7234083414077759,274,0.13795277550153354
0.8143149018287659,0.7163129448890686,1931,0.14696159565627234
0.18154841661453247,0.17610010504722595,853,0.14843274609975227
0.6627792119979858,0.33096203207969666,1189,0.15915466004237389
0.34235966205596924,0.8078194260597229,99,0.13896336436635473
0.620473325252533,0.9345588684082031,616,0.14148853554538068
0.37830084562301636,0.4581844210624695,1670,0.14563605365822938
0.9025003910064697,0.05039375275373459,368,0.16735290656362306
0.09773682057857513,0.5881686210632324,1418,0.1368441402925414
0.7484343647956848,0.5473110675811768,496,0.159380633059648
0.01768702527056676,0.9547712172522416,123,0.12863302782378344
0.007946409021959866,0.9681037350376117,678,0.1262771295483227
0.7359424963164866,0.9910403855264611,193,0.12485193943200242
0.7198818118230348,0.9770000404703009,171,0.12571199337775624
0.912910345061912,0.9937546187854654,1381,0.12609668576759736
0.15626145164128546,0.4388552414322493,1402,0.14002092798103363
0.10771449356591425,0.9954914543846873,282,0.11947798263166293
0.1169116084070343,0.3658185606612311,1481,0.14432518775627526
0.5471723872398414,0.9997831092652057,229,0.12422612699136172
0.23384536312933035,0.9950326496371427,1545,0.1213667863862825
0.08235437461401585,0.998350547916891,607,0.12016072022668828
0.09225871043199957,0.9956243657386991,297,0.11989236114620806
0.1250083568128764,0.9965527064797036,285,0.11939158770949564
